date,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,rainfall,industrial_emissions,traffic_density,vegetation_index,aqi,aqi_lag_1,aqi_lag_7,aqi_roll_7,day_of_week,month,is_holiday
2025-06-06,89.9,192.6,58.9,20.1,2.15,38.1,28.9,49.5,3.23,0.1,0.77,0.65,0.21,154,154.0,154.0,147.71428571428572,4,6,0
2025-06-07,77.8,183.3,57.7,19.9,1.96,33.6,28.0,52.9,3.15,19.7,0.78,0.62,0.19,144,154.0,154.0,147.71428571428572,5,6,0
2025-06-08,62.9,165.2,46.1,16.2,1.62,21.4,29.2,52.1,3.78,1.0,0.49,0.68,0.19,118,144.0,154.0,147.71428571428572,6,6,0
2025-06-09,79.6,190.0,57.2,16.9,2.08,25.4,30.6,52.8,3.08,6.9,0.6,0.83,0.19,142,118.0,154.0,147.71428571428572,0,6,0
2025-06-10,76.6,176.3,53.7,18.4,2.12,28.6,28.0,48.7,3.44,2.6,0.67,0.79,0.2,141,142.0,154.0,147.71428571428572,1,6,0
2025-06-11,90.9,203.0,64.4,19.1,2.25,37.2,28.0,53.0,3.5,6.5,0.77,0.76,0.2,166,141.0,154.0,147.71428571428572,2,6,0
2025-06-12,95.1,217.0,64.3,18.1,2.46,36.8,30.8,55.6,2.93,8.4,0.7,0.82,0.19,169,166.0,154.0,147.71428571428572,3,6,0
2025-06-13,64.0,163.2,48.2,17.5,1.97,29.5,29.6,60.6,3.95,14.2,0.65,0.75,0.19,127,169.0,154.0,147.71428571428572,4,6,0
2025-06-14,87.2,200.8,60.0,18.8,2.12,34.7,27.8,58.5,3.28,0.0,0.67,0.64,0.19,151,127.0,144.0,143.85714285714286,5,6,0
2025-06-15,65.9,150.9,44.6,15.9,1.67,26.9,29.3,64.7,2.95,0.0,0.51,0.65,0.2,119,151.0,118.0,144.85714285714286,6,6,0
2025-06-16,87.8,214.4,62.5,18.7,2.18,35.9,27.9,50.4,3.75,0.0,0.72,0.83,0.2,162,119.0,142.0,145.0,0,6,0
2025-06-17,98.1,248.0,66.2,21.6,2.45,35.0,27.9,58.9,2.92,0.0,0.68,0.9,0.19,179,162.0,141.0,147.85714285714286,1,6,0
2025-06-18,84.2,205.8,57.7,20.8,2.2,31.9,29.0,55.7,3.5,0.0,0.67,0.81,0.2,153,179.0,166.0,153.28571428571428,2,6,0
